EventCode,EventDescription,total_articles
20,USE UNCONVENTIONAL MASS VIOLENCE,10238
10,DEMAND,7734
40,,6042
51,,6035
110,"Disapprove, not specified below",3989
190,"Use conventional military force, not specified below",3597
120,"Reject, not specified below",3491
173,"Arrest, detain, or charge with legal action ",3455
111,Criticize or denounce ,2935
36,,2935
90,,2921
42,,2740
43,,2291
12,REJECT,2263
46,,2095
112,"Accuse, not specified below",1837
193,Fight with small arms and light weapons,1835
114,Complain officially ,1702
50,,1406
80,,1386
26,,1307
30,,1299
130,"Threaten, not specified below",1172
100,"Demand, not specified below",1024
71,,1000
138,"Threaten to use military force, not specified below",986
60,,830
194,Fight with artillery and tanks,786
84,,776
57,,756
195,Employ aerial weapons,719
70,,708
191,"Impose blockade, restrict movement ",610
1712,Destroy property,504
172,"Impose administrative sanctions, not specified below",480
16,REDUCE RELATIONS,435
181,"Abduct, hijack, or take hostage ",402
72,,382
141,Demonstrate or rally,356
13,THREATEN,356
163,"Impose embargo, boycott, or sanctions",334
164,Halt negotiations,332
41,,305
180,"Use unconventional violence, not specified below",300
14,PROTEST,296
841,,282
160,"Reduce relations, not specified below",250
874,,232
73,,232
182,"Physically assault, not specified below",214
831,,198
61,,196
154,Mobilize or increase armed forces ,190
23,,190
33,,168
192,Occupy territory,168
161,Reduce or break diplomatic relations,158
52,,150
311,,140
45,,140
234,,130
128,"Defy norms, law",120
125,"Reject proposal to meet, discuss, or negotiate",106
64,,98
133,"Threaten political dissent, protest",98
17,COERCE,96
83,,92
150,"Demonstrate military or police power, not specified below",92
175,Use tactics of violent repression  ,90
54,,90
53,,88
233,,88
353,,86
1822,Torture,84
18,ASSAULT,82
1711,Confiscate property,78
162,"Reduce or stop aid, not specified below",78
62,,76
331,,76
81,,70
145,"Protest violently, riot",70
332,,68
139,Give ultimatum,68
871,,66
1031,Demand economic aid,66
1384,Threaten conventional attack  ,60
55,,50
1723,Impose curfew,40
1121,"Accuse of crime, corruption",40
131,"Threaten non-force, not specified below",38
1312,"Threaten to boycott, embargo, or sanction",34
833,,32
183,"Conduct suicide, car, or other non-military bombing, not spec below",30
231,,30
232,,30
174,Expel or deport individuals,30
1123,Accuse of aggression,30
873,,30
31,,30
22,,30
214,,30
241,,30
842,,30
1383,Threaten unconventional violence ,30
1721,Impose restrictions on political freedoms  ,28
186,Assassinate ,24
15,EXHIBIT FORCE POSTURE,20
11,DISAPPROVE,20
202,Engage in mass killings,20
863,,20
1122,Accuse of human rights abuses,20
32,,20
144,"Obstruct passage, block",20
134,Threaten to halt negotiations,20
75,,20
151,Increase police alert status,20
127,"Reject plan, agreement to settle dispute",20
122,"Reject request or demand for material aid, not specified below",20
143,"Conduct strike or boycott, not specified below",20
1043,Demand rights,20
140,"Engage in political dissent, not specified below",20
152,Increase military alert status,20
44,,18
356,,18
74,,18
1722,Ban political parties or politicians,16
27,,12
25,,12
19,FIGHT,10
35,,10
39,,10
56,,10
129,Veto,10
106,,10
85,,10
94,,10
102,Demand policy support,10
124,"Refuse to yield, not specified below",10
170,"Coerce, not specified below ",10
185,Attempt to assassinate,10
1124,Accuse of war crimes,10
166,"Expel or withdraw, not specified below",10
1041,Demand change in leadership,10
333,,10
1053,Demand release of persons or property,10
1233,Reject request for rights,10
1724,Impose state of emergency or martial law,10
203,Engage in ethnic cleansing,6
